customer_name,amount,due_date,label
Cliente_47,8040.78,2024-03-05,regular
Cliente_24,1618.62,2024-03-05,regular
Cliente_15,6245.31,2024-03-05,late
Cliente_95,7418.82,2024-03-05,late
Cliente_13,4040.13,2024-03-05,regular
Cliente_37,3178.88,2024-03-05,regular
Cliente_9,2934.28,2024-03-05,regular
Cliente_100,7144.69,2024-03-05,late
Cliente_83,4489.44,2024-03-05,regular
Cliente_58,9711.0,2024-03-05,regular
Cliente_24,6452.78,2024-03-05,regular
Cliente_86,144.24,2024-03-05,regular
Cliente_60,667.03,2024-03-05,late
Cliente_93,6437.42,2024-03-05,regular
Cliente_48,5732.84,2024-03-05,regular
Cliente_74,7708.89,2024-03-05,regular
Cliente_65,5428.22,2024-03-05,late
Cliente_56,5060.88,2024-03-05,regular
Cliente_40,9079.11,2024-03-05,late
Cliente_82,8244.11,2024-03-05,regular
Cliente_75,7063.27,2024-03-05,late
Cliente_21,6923.1,2024-03-05,regular
Cliente_83,8951.19,2024-03-05,regular
Cliente_22,5521.56,2024-03-05,regular
Cliente_4,482.22,2024-03-05,regular
Cliente_77,5460.62,2024-03-05,regular
Cliente_43,1937.71,2024-03-05,regular
Cliente_21,5832.26,2024-03-05,regular
Cliente_76,2551.77,2024-03-05,regular
Cliente_30,9421.36,2024-03-05,late
Cliente_26,9582.47,2024-03-05,regular
Cliente_27,3478.47,2024-03-05,regular
Cliente_22,2945.22,2024-03-05,regular
Cliente_56,5751.55,2024-03-05,regular
Cliente_21,7164.09,2024-03-05,regular
Cliente_33,696.11,2024-03-05,regular
Cliente_77,864.48,2024-03-05,regular
Cliente_5,9960.05,2024-03-05,late
Cliente_8,4786.92,2024-03-05,regular
Cliente_76,7641.07,2024-03-05,regular
Cliente_57,2206.3,2024-03-05,regular
Cliente_73,7024.29,2024-03-05,regular
Cliente_68,7534.72,2024-03-05,regular
Cliente_6,8938.61,2024-03-05,regular
Cliente_30,9223.47,2024-03-05,late
Cliente_14,8091.73,2024-03-05,regular
Cliente_98,1390.94,2024-03-05,regular
Cliente_18,4058.54,2024-03-05,regular
Cliente_11,971.9,2024-03-05,regular
Cliente_23,9760.85,2024-03-05,regular
Cliente_51,2377.77,2024-03-05,regular
Cliente_60,7213.77,2024-03-05,late
Cliente_5,2881.65,2024-03-05,late
Cliente_70,7211.05,2024-03-05,late
Cliente_70,1474.47,2024-03-05,late
Cliente_11,1294.86,2024-03-05,regular
Cliente_72,8561.4,2024-03-05,regular
Cliente_13,3976.34,2024-03-05,regular
Cliente_74,7685.95,2024-03-05,regular
Cliente_6,1832.29,2024-03-05,regular
Cliente_100,5755.12,2024-03-05,late
Cliente_11,2029.51,2024-03-05,regular
Cliente_71,9501.82,2024-03-05,regular
Cliente_31,3506.39,2024-03-05,regular
Cliente_55,1040.88,2024-03-05,late
Cliente_7,7988.46,2024-03-05,regular
Cliente_9,1139.34,2024-03-05,regular
Cliente_76,6998.04,2024-03-05,regular
Cliente_56,2057.28,2024-03-05,regular
Cliente_17,8832.44,2024-03-05,regular
Cliente_21,7016.64,2024-03-05,regular
Cliente_32,5073.76,2024-03-05,regular
Cliente_97,2405.71,2024-03-05,regular
Cliente_87,3187.6,2024-03-05,regular
Cliente_39,8245.83,2024-03-05,regular
Cliente_47,9406.26,2024-03-05,regular
Cliente_86,7478.86,2024-03-05,regular
Cliente_2,6460.79,2024-03-05,regular
Cliente_66,1848.11,2024-03-05,regular
Cliente_86,2204.98,2024-03-05,regular
Cliente_54,6275.81,2024-03-05,regular
Cliente_21,5691.04,2024-03-05,regular
Cliente_63,6945.27,2024-03-05,regular
Cliente_78,2242.06,2024-03-05,regular
Cliente_3,1416.83,2024-03-05,regular
