customer_name,amount,due_date
Cliente_91,3360.0,2024-08-31
Cliente_13,5801.3,2024-08-31
Cliente_27,5878.11,2024-08-31
Cliente_91,5353.08,2024-09-01
Cliente_66,8336.52,2024-09-01
Cliente_31,7698.95,2024-09-02
Cliente_73,5868.77,2024-09-02
Cliente_72,6567.66,2024-09-02
Cliente_1,945.55,2024-09-03
Cliente_1,8382.52,2024-09-03
Cliente_4,7254.72,2024-09-03
Cliente_33,5713.3,2024-09-04
Cliente_34,7285.68,2024-09-04
Cliente_6,3110.57,2024-09-05
Cliente_44,1067.92,2024-09-05
Cliente_26,8822.1,2024-09-05
Cliente_46,7387.25,2024-09-05
Cliente_71,4530.29,2024-09-05
Cliente_15,3666.82,2024-09-06
Cliente_94,1174.99,2024-09-06
